"univ","from","to","mean","total_apps","stud_apps","budget_apps","total_per_place","budg_per_place","link","price","year","scopus_public","scopus_qoutes","rate_place","rate_sort","region"
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""",101,195.666666666667,143.1,2793,613,297,4,9,"http://kdpu.edu.ua",12661,,,,"172",172,"Дніпропетровська область"
"Державний вищий навчальний заклад ""Криворізький національний університет""",102.666666666667,195,142.8,2522,430,253,5,10,"http://knu.edu.ua",10554,,194,312,"70, 71",70,"Дніпропетровська область"
"Державний вищий навчальний заклад ""Національний гірничий університет""",101.333333333333,198,148.1,7324,957,383,7,19,"http://www.nmu.org.ua",11233,,516,225,"28",28,"Дніпропетровська область"
"Державний вищий навчальний заклад ""Національний лісотехнічний університет України""",103.333333333333,192,145.3,2150,208,121,10,17,"http://pk.nltu.edu.ua",9816,,130,978,"49",49,"Львівська область"
"Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""",100,192.666666666667,134.2,1675,364,278,4,6,"http://phdpu.edu.ua",10465,,,,"93",93,"Київська область"
"Державний вищий навчальний заклад ""Приазовський державний технічний університет""",100.666666666667,194.666666666667,140.1,1879,401,191,4,9,"http://pstu.edu",8475,,391,327,"77",77,"Донецька область"
"Державний вищий навчальний заклад ""Придніпровська державна академія будівництва та архітектури""",103.666666666667,191.5,146.5,2227,379,174,5,12,"http://new.pgasa.dp.ua",9750,,178,511,"68",68,"Дніпропетровська область"
"Державний вищий навчальний заклад ""Прикарпатський національний університет імені Василя Стефаника""",100.333333333333,195.666666666667,147.1,4724,1992,586,2,8,"http://www.pu.if.ua",11277,,436,4208,"16",16,"Івано-Франківська область"
"Державний вищий навчальний заклад ""Тернопiльський державний медичний університет iменi I.Я. Горбачевського Міністерства охорони здоров`я України""",113.666666666667,174.666666666667,144.8,251,35,9,7,27,"http://vstup.tdmu.edu.ua",23000,,299,247,"54, 55",54,"Тернопільська область"
"Державний вищий навчальний заклад ""Ужгородський національний університет""",100.666666666667,195,145.8,9916,1671,572,5,17,"http://www.uzhnu.edu.ua",12277,,1660,6737,"20, 21",20,"Закарпатська область"
"Державний вищий навчальний заклад ""Український державний хіміко-технологічний університет""",101.666666666667,196.666666666667,138.7,3143,387,106,8,29,"http://udhtu.edu.ua",9500,,712,4236,"88",88,"Дніпропетровська область"
"Державний вищий навчальний заклад ""Університет банківської справи""",112.333333333333,193.333333333333,162.9,726,44,23,16,31,"http://ubs.edu.ua",15500,,55,30,"76",76,"м. Київ"
"Державний вищий навчальний заклад ""Університет менеджменту освіти""",104.666666666667,167.666666666667,133.3,464,87,0,5,,"http://umo.edu.ua/",9666,,,,"183",183,"м. Київ"
"Державний вищий навчальний заклад ""Херсонський державний аграрний університет""",104,175.666666666667,133.6,1248,219,64,5,19,"http://www.ksau.kherson.ua",9000,,,,"135, 136",135,"Херсонська область"
"Державний заклад ""Дніпропетровська медична академія Міністерства охорони здоров'я України""",112.333333333333,172,138.9,211,23,6,9,35,"http://www.dsma.dp.ua",33063,,265,2567,"46",46,"Дніпропетровська область"
"Державний заклад ""Луганський національний університет імені Тараса Шевченка""",100.333333333333,191.5,133.5,1582,438,308,3,5,"http://luguniv.edu.ua",9071,,93,230,"52",52,"Луганська область"
"Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»",101.333333333333,192.666666666667,139.9,4170,629,201,6,20,"http://www.pdpu.edu.ua",10585,,111,807,"53",53,"Одеська область"
"Державний університет інфраструктури та технологій",101.666666666667,187,134.6,926,164,28,5,33,"http://duit.org.ua",14580,,,,,500,"м. Київ"
"Державний університет телекомунікацій",103,189,144.1,5628,712,181,7,31,"http://www.dut.edu.ua",14066,,,,"127",127,"м. Київ"
"Дніпровська філія вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",0,0,0,2,0,0,0,,"http://dn.vmurol.com.ua",7975,,,,,500,"Дніпропетровська область"
"Дніпровський державний технічний університет",103.333333333333,186.666666666667,136.4,861,120,45,7,19,"http://www.dstu.dp.ua/uni/index.html",9240,,106,49,"156",156,"Дніпропетровська область"
