"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student"
"Державний університет інфраструктури та технологій",,,101.666666666667,187,134.6,"http://duit.org.ua",14580,,,500,"м. Київ",124,696,1772,3,14,0,1150,
"Державний університет телекомунікацій",,,103,189,144.1,"http://www.dut.edu.ua",14066,,"127",127,"м. Київ",183,1208,6425,5,35,0,1673,
"Дніпровська філія вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,0,0,0,"http://dn.vmurol.com.ua",7975,,,500,"Дніпропетровська область",,9,30,3,,0,9,
"Дніпровський державний технічний університет",12,24,103.333333333333,186.666666666667,136.4,"http://www.dstu.dp.ua/uni/index.html",9240,,"156",156,"Дніпропетровська область",128,392,1432,4,11,2,393,30.5343511450382
"Дніпропетровський державний аграрно-економічний університет",9,23,101.666666666667,198,136.3,"https://www.dsau.dp.ua/",10400,,"107, 108",107,"Дніпропетровська область",315,839,4104,5,13,2.6,1011,8.90207715133531
"Дніпропетровський державний інститут фізичної культури і спорту",,,101,179,128.5,"http://infiz.dp.ua/",11240,,,500,"Дніпропетровська область",104,171,361,2,3,0,245,
"Дніпропетровський державний університет внутрішніх справ",,,101.5,188,131.8,"http://dduvs.in.ua",13650,,"192, 193",192,"Дніпропетровська область",,805,820,1,,0,805,
"Дніпропетровський інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,103.666666666667,131.666666666667,114.7,"http://maup.dp.ua/",10866,,,500,"Дніпропетровська область",,8,88,11,,0,8,
"Дніпропетровський національний університет залізничного транспорту імені академіка В. Лазаряна",11,41,102.333333333333,194.666666666667,148.1,"http://diit.edu.ua/",11372,,"51",51,"Дніпропетровська область",395,785,4734,6,12,3.7,1331,8.26446280991736
"Дніпропетровський національний університет імені Олеся Гончара",263,1787,113,196,159.7,"http://www.dnu.dp.ua/",13362,,"11",11,"Дніпропетровська область",715,1746,15085,9,21,6.8,3167,83.0438901168298
