"","univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student","ranking_2017","ranking_2011","rank4","X1","mean1","sd","median","size","zayav"
"23","Державний вищий навчальний заклад ""Приазовський державний технічний університет""",40,108,100.666666666667,194.666666666667,140.1,"http://pstu.edu",8475,NA,"77",77,"Донецька область",434,975,2630,4.57590361445783,6,2.7,1600,25,169,149,-20,"Донецька область",139.755020080321,19.399252821448,138.7,415,1899
"24","Державний вищий навчальний заклад ""Придніпровська державна академія будівництва та архітектури""",6,68,103.666666666667,191.5,146.5,"http://new.pgasa.dp.ua",9750,NA,"68",68,"Дніпропетровська область",277,678,3065,5.79947916666667,11,11.3,1457,4.11805078929307,89,132,43,"Дніпропетровська область",146.638020833333,19.923746163128,145,384,2227
"25","Державний вищий навчальний заклад ""Прикарпатський національний університет імені Василя Стефаника""",88,960,100.333333333333,195.666666666667,147.1,"http://www.pu.if.ua",11277,NA,"16",16,"Івано-Франківська область",628,3007,6144,2.26076555023923,10,10.9,4632,18.9982728842832,81,89,8,"Івано-Франківська область",147.402153110048,21.4508753761079,147.3,2090,4725
"26","Державний вищий навчальний заклад ""Тернопiльський державний медичний університет iменi I.Я. Горбачевського Міністерства охорони здоров`я України""",133,129,113.666666666667,197,160.119883040936,"http://vstup.tdmu.edu.ua/",16422,NA,"54, 56",54,"Тернопільська область",NA,570,6019,8.72048611111111,NA,0.969924812030075,570,233.333333333333,23,15,-8,"Тернопільська область",160.038483796296,17.9799328424997,160.8,576,5023
"27","Державний вищий навчальний заклад ""Ужгородський національний університет""",88,894,100.666666666667,195,145.8,"http://www.uzhnu.edu.ua",12277,NA,"20, 21",20,"Закарпатська область",674,1981,10531,5.76911836337068,16,10.2,3816,23.0607966457023,94,82,-12,"Закарпатська область",148.136629322942,21.6906017258909,148,2053,11844
"28","Державний вищий навчальний заклад ""Український державний хіміко-технологічний університет""",66,673,101.666666666667,196.666666666667,138.7,"http://udhtu.edu.ua",9500,NA,"88",88,"Дніпропетровська область",244,722,4655,8.05897435897436,19,10.2,1365,48.3516483516484,188,183,-5,"Дніпропетровська область",138.674358974359,19.434278266844,136.8,390,3143
"29","Державний вищий навчальний заклад ""Херсонський державний аграрний університет""",NA,NA,104,175.666666666667,133.6,"http://www.ksau.kherson.ua",9000,NA,"135, 136",135,"Херсонська область",202,453,1872,5.2,9,0,828,NA,251,194,-57,"Херсонська область",132.888888888889,16.4771277356292,130.5,240,1248
"30","Державний заклад ""Дніпропетровська медична академія Міністерства охорони здоров'я України""",14,723,112.333333333333,196,167.533200531209,"http://www.dsma.dp.ua/ua/",31039,NA,"46",46,"Дніпропетровська область",NA,502,2982,5.93426294820717,NA,51.6428571428571,502,27.8884462151394,7,26,19,"Дніпропетровська область",167.534860557769,15.1265912704965,169.7,502,2979
"31","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",9,63,100.333333333333,191.5,133.5,"http://luguniv.edu.ua",9071,NA,"52",52,"Луганська область",681,1358,3792,3.55187637969095,6,7,1358,6.62739322533137,253,187,-66,"Луганська область",133.229580573951,18.1968816724589,131,453,1609
"32","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»",5,125,101.333333333333,192.666666666667,139.9,"http://www.pdpu.edu.ua",10585,NA,"53",53,"Одеська область",260,1062,4843,6.32776934749621,19,25,1762,2.83768444948922,175,196,21,"Одеська область",140.479261507334,21.3877118859691,139,659,4170
"33","Державний університет телекомунікацій",NA,NA,103,189,144.1,"http://www.dut.edu.ua",14066,NA,"127",127,"м. Київ",183,1208,6425,7.79501385041551,35,0,1673,NA,113,51,-62,"Київ",144.317636195753,19.1887574915294,143.7,722,5628
"34","Дніпропетровський державний аграрно-економічний університет",9,23,101.666666666667,198,136.3,"https://www.dsau.dp.ua/",10400,NA,"107, 108",107,"Дніпропетровська область",315,839,4104,6.04930662557781,13,2.6,1011,8.90207715133531,218,NA,NA,"Дніпропетровська область",138.373138161274,19.2565569479585,135.7,649,3926
"35","Дніпропетровський державний університет внутрішніх справ",NA,NA,101.5,188,131.8,"http://dduvs.in.ua",13650,NA,"192, 193",192,"Дніпропетровська область",NA,805,820,1,NA,0,805,NA,277,257,-20,"Дніпропетровська область",131.989512471655,17.163046419467,129.7,588,588
"36","Дніпропетровський національний університет залізничного транспорту імені академіка В. Лазаряна",11,41,102.333333333333,194.666666666667,148.1,"http://diit.edu.ua/",11372,NA,"51",51,"Дніпропетровська область",395,785,4734,10.1736972704715,12,3.7,1331,8.26446280991736,73,111,38,"Дніпропетровська область",148.050041356493,19.8647247115209,150.3,403,4100
